Frame No.,newgc-csharp-1500,newgc-csharp-inverse-1500,newgc-frp-1500,newgc-frp-inverse-1500
696,505803,547502,570240,660323
697,534369,614538,600509,606914
698,396752,553203,601158,701257
699,406923,659624,569009,625370
700,617532,546074,677925,779512
701,508052,661928,513646,569121
702,461455,584026,604890,696778
703,661014,624418,676819,566229
704,531761,675182,575405,596898
705,438576,614487,714072,676675
706,592863,670750,688011,622105
707,522603,779391,666504,773056
708,444002,700542,630139,599362
709,638639,673722,793792,731856
710,528202,772621,530511,611062
711,428784,639632,645347,527576
712,648720,655690,781001,697002
713,518568,779746,597323,616637
714,435777,630297,703183,721210
715,643691,626509,679301,684396
716,499962,551542,652028,683930
717,445430,648408,630544,534892
718,622595,463489,766324,835286
719,521680,492284,549172,896034
720,430650,588403,690354,751134
721,539785,506321,669644,690559
722,534808,542743,632005,528141
723,497270,516123,592341,698859
724,525379,581298,603453,634589
725,551808,507240,626518,717091
726,422481,452801,569504,593656
727,632429,488164,671515,717515
728,506909,575625,523812,540471
729,432787,585744,658896,810760
730,627344,417960,591178,609956
731,509405,532610,560630,699446
732,431060,522463,659646,793317
733,597462,483256,598960,843124
734,432791,502687,653162,672588
735,427538,547427,699791,654100
736,569802,639591,719008,689164
737,513847,520826,665492,648553
738,475465,584116,596035,684597
739,431439,544964,711291,648165
740,617048,653246,633422,967799
741,581251,572377,703971,849324
742,623155,674623,602203,626047
743,548425,560761,627526,735686
744,578619,673213,675187,816065
745,490230,778924,688441,790980
746,585333,639301,569009,686416
747,531789,700529,615294,939532
748,521470,663734,681163,642511
749,548906,602417,556907,809105
750,565020,667947,694501,562804
751,616684,540896,683076,709920
752,558414,595489,625614,671567
753,660789,529853,603835,739046
754,521115,458110,609682,612709
755,585874,596455,628902,926908
756,572065,497392,658965,576306
757,548701,535732,675602,602842
758,572429,498428,537178,797498
759,653503,448191,695873,662156
760,489643,643794,592097,845326
761,672536,452465,560275,586355
762,539417,533325,634114,607330
763,533898,543840,582931,763468
764,561629,414387,649262,524983
765,542207,627848,681676,729538
766,496403,550021,659152,567213
767,567521,512465,568113,579278
768,537313,559917,610539,774824
769,498745,658952,703216,569671
770,576488,526462,659446,688417
771,568444,686123,680692,636194
772,528290,551276,608109,967362
773,668338,640505,670736,674543
774,554276,661018,650489,721163
775,619968,603551,678779,594869
776,562417,661097,555726,826944
777,613665,674081,607992,624367
778,590045,676815,687554,631655
779,568948,616553,652429,601237
780,680453,683584,693079,601913
